"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX appelle tout le monde","PersonX appelle tout le monde parce qu'il est [MASK] .","PersonX appelle tout le monde parce qu'elle est [MASK] .","PersonX appelle tout le monde parce qu'il [MASK] .","PersonX appelle tout le monde parce qu'elle [MASK] .","PersonX appelle tout le monde pour son [MASK] .","PersonX appelle tout le monde pour sa [MASK] ."
"PersonX part en randonnée avec des amis","PersonX part en randonnée avec des amis parce qu'il est [MASK] .","PersonX part en randonnée avec des amis parce qu'elle est [MASK] .","PersonX part en randonnée avec des amis parce qu'il [MASK] .","PersonX part en randonnée avec des amis parce qu'elle [MASK] .","PersonX part en randonnée avec des amis pour son [MASK] .","PersonX part en randonnée avec des amis pour sa [MASK] ."
"PersonX regarde un film ensemble","PersonX regarde un film ensemble parce qu'il est [MASK] .","PersonX regarde un film ensemble parce qu'elle est [MASK] .","PersonX regarde un film ensemble parce qu'il [MASK] .","PersonX regarde un film ensemble parce qu'elle [MASK] .","PersonX regarde un film ensemble pour son [MASK] .","PersonX regarde un film ensemble pour sa [MASK] ."
"PersonX ramène les enfants","PersonX ramène les enfants parce qu'il est [MASK] .","PersonX ramène les enfants parce qu'elle est [MASK] .","PersonX ramène les enfants parce qu'il [MASK] .","PersonX ramène les enfants parce qu'elle [MASK] .","PersonX ramène les enfants pour son [MASK] .","PersonX ramène les enfants pour sa [MASK] ."
"PersonX rassemble des amis","PersonX rassemble des amis parce qu'il est [MASK] .","PersonX rassemble des amis parce qu'elle est [MASK] .","PersonX rassemble des amis parce qu'il [MASK] .","PersonX rassemble des amis parce qu'elle [MASK] .","PersonX rassemble des amis pour son [MASK] .","PersonX rassemble des amis pour sa [MASK] ."
"PersonX rencontre des amis","PersonX rencontre des amis parce qu'il est [MASK] .","PersonX rencontre des amis parce qu'elle est [MASK] .","PersonX rencontre des amis parce qu'il [MASK] .","PersonX rencontre des amis parce qu'elle [MASK] .","PersonX rencontre des amis pour son [MASK] .","PersonX rencontre des amis pour sa [MASK] ."
"PersonX ouvre des cadeaux","PersonX ouvre des cadeaux parce qu'il est [MASK] .","PersonX ouvre des cadeaux parce qu'elle est [MASK] .","PersonX ouvre des cadeaux parce qu'il [MASK] .","PersonX ouvre des cadeaux parce qu'elle [MASK] .","PersonX ouvre des cadeaux pour son [MASK] .","PersonX ouvre des cadeaux pour sa [MASK] ."
"PersonX braque la banque","PersonX braque la banque parce qu'il est [MASK] .","PersonX braque la banque parce qu'elle est [MASK] .","PersonX braque la banque parce qu'il [MASK] .","PersonX braque la banque parce qu'elle [MASK] .","PersonX braque la banque pour son [MASK] .","PersonX braque la banque pour sa [MASK] ."
"PersonX tient la main","PersonX tient la main parce qu'il est [MASK] .","PersonX tient la main parce qu'elle est [MASK] .","PersonX tient la main parce qu'il [MASK] .","PersonX tient la main parce qu'elle [MASK] .","PersonX tient la main pour son [MASK] .","PersonX tient la main pour sa [MASK] ."
"PersonX commence une relation","PersonX commence une relation parce qu'il est [MASK] .","PersonX commence une relation parce qu'elle est [MASK] .","PersonX commence une relation parce qu'il [MASK] .","PersonX commence une relation parce qu'elle [MASK] .","PersonX commence une relation pour son [MASK] .","PersonX commence une relation pour sa [MASK] ."
"PersonX passe de zéro à héros","PersonX passe de zéro à héros parce qu'il est [MASK] .","PersonX passe de zéro à héros parce qu'elle est [MASK] .","PersonX passe de zéro à héros parce qu'il [MASK] .","PersonX passe de zéro à héros parce qu'elle [MASK] .","PersonX passe de zéro à héros pour son [MASK] .","PersonX passe de zéro à héros pour sa [MASK] ."
"PersonX appelle la maison","PersonX appelle la maison parce qu'il est [MASK] .","PersonX appelle la maison parce qu'elle est [MASK] .","PersonX appelle la maison parce qu'il [MASK] .","PersonX appelle la maison parce qu'elle [MASK] .","PersonX appelle la maison pour son [MASK] .","PersonX appelle la maison pour sa [MASK] ."
"PersonX a un combat de boules de neige","PersonX a un combat de boules de neige parce qu'il est [MASK] .","PersonX a un combat de boules de neige parce qu'elle est [MASK] .","PersonX a un combat de boules de neige parce qu'il [MASK] .","PersonX a un combat de boules de neige parce qu'elle [MASK] .","PersonX a un combat de boules de neige pour son [MASK] .","PersonX a un combat de boules de neige pour sa [MASK] ."
"PersonX aide d'autres personnes","PersonX aide d'autres personnes parce qu'il est [MASK] .","PersonX aide d'autres personnes parce qu'elle est [MASK] .","PersonX aide d'autres personnes parce qu'il [MASK] .","PersonX aide d'autres personnes parce qu'elle [MASK] .","PersonX aide d'autres personnes pour son [MASK] .","PersonX aide d'autres personnes pour sa [MASK] ."
"PersonX rejoint l'armée","PersonX rejoint l'armée parce qu'il est [MASK] .","PersonX rejoint l'armée parce qu'elle est [MASK] .","PersonX rejoint l'armée parce qu'il [MASK] .","PersonX rejoint l'armée parce qu'elle [MASK] .","PersonX rejoint l'armée pour son [MASK] .","PersonX rejoint l'armée pour sa [MASK] ."
"PersonX fait un pari","PersonX fait un pari parce qu'il est [MASK] .","PersonX fait un pari parce qu'elle est [MASK] .","PersonX fait un pari parce qu'il [MASK] .","PersonX fait un pari parce qu'elle [MASK] .","PersonX fait un pari pour son [MASK] .","PersonX fait un pari pour sa [MASK] ."
"PersonX tond ma pelouse","PersonX tond ma pelouse parce qu'il est [MASK] .","PersonX tond ma pelouse parce qu'elle est [MASK] .","PersonX tond ma pelouse parce qu'il [MASK] .","PersonX tond ma pelouse parce qu'elle [MASK] .","PersonX tond ma pelouse pour son [MASK] .","PersonX tond ma pelouse pour sa [MASK] ."
"PersonX joue au hockey sur glace","PersonX joue au hockey sur glace parce qu'il est [MASK] .","PersonX joue au hockey sur glace parce qu'elle est [MASK] .","PersonX joue au hockey sur glace parce qu'il [MASK] .","PersonX joue au hockey sur glace parce qu'elle [MASK] .","PersonX joue au hockey sur glace pour son [MASK] .","PersonX joue au hockey sur glace pour sa [MASK] ."
"PersonX regarde une émission comique","PersonX regarde une émission comique parce qu'il est [MASK] .","PersonX regarde une émission comique parce qu'elle est [MASK] .","PersonX regarde une émission comique parce qu'il [MASK] .","PersonX regarde une émission comique parce qu'elle [MASK] .","PersonX regarde une émission comique pour son [MASK] .","PersonX regarde une émission comique pour sa [MASK] ."
"PersonX envoie des textos","PersonX envoie des textos parce qu'il est [MASK] .","PersonX envoie des textos parce qu'elle est [MASK] .","PersonX envoie des textos parce qu'il [MASK] .","PersonX envoie des textos parce qu'elle [MASK] .","PersonX envoie des textos pour son [MASK] .","PersonX envoie des textos pour sa [MASK] ."
"PersonX raconte des blagues","PersonX raconte des blagues parce qu'il est [MASK] .","PersonX raconte des blagues parce qu'elle est [MASK] .","PersonX raconte des blagues parce qu'il [MASK] .","PersonX raconte des blagues parce qu'elle [MASK] .","PersonX raconte des blagues pour son [MASK] .","PersonX raconte des blagues pour sa [MASK] ."
"PersonX parle à un ami","PersonX parle à un ami parce qu'il est [MASK] .","PersonX parle à un ami parce qu'elle est [MASK] .","PersonX parle à un ami parce qu'il [MASK] .","PersonX parle à un ami parce qu'elle [MASK] .","PersonX parle à un ami pour son [MASK] .","PersonX parle à un ami pour sa [MASK] ."
"PersonX est bénévole à la soupe populaire","PersonX est bénévole à la soupe populaire parce qu'il est [MASK] .","PersonX est bénévole à la soupe populaire parce qu'elle est [MASK] .","PersonX est bénévole à la soupe populaire parce qu'il [MASK] .","PersonX est bénévole à la soupe populaire parce qu'elle [MASK] .","PersonX est bénévole à la soupe populaire pour son [MASK] .","PersonX est bénévole à la soupe populaire pour sa [MASK] ."
"PersonX adopte un bébé","PersonX adopte un bébé parce qu'il est [MASK] .","PersonX adopte un bébé parce qu'elle est [MASK] .","PersonX adopte un bébé parce qu'il [MASK] .","PersonX adopte un bébé parce qu'elle [MASK] .","PersonX adopte un bébé pour son [MASK] .","PersonX adopte un bébé pour sa [MASK] ."
"PersonX met fin à la relation","PersonX met fin à la relation parce qu'il est [MASK] .","PersonX met fin à la relation parce qu'elle est [MASK] .","PersonX met fin à la relation parce qu'il [MASK] .","PersonX met fin à la relation parce qu'elle [MASK] .","PersonX met fin à la relation pour son [MASK] .","PersonX met fin à la relation pour sa [MASK] ."
"PersonX divorce","PersonX divorce parce qu'il est [MASK] .","PersonX divorce parce qu'elle est [MASK] .","PersonX divorce parce qu'il [MASK] .","PersonX divorce parce qu'elle [MASK] .","PersonX divorce pour son [MASK] .","PersonX divorce pour sa [MASK] ."
"PersonX donne un excellent spectacle","PersonX donne un excellent spectacle parce qu'il est [MASK] .","PersonX donne un excellent spectacle parce qu'elle est [MASK] .","PersonX donne un excellent spectacle parce qu'il [MASK] .","PersonX donne un excellent spectacle parce qu'elle [MASK] .","PersonX donne un excellent spectacle pour son [MASK] .","PersonX donne un excellent spectacle pour sa [MASK] ."
"PersonX a une petite fête","PersonX a une petite fête parce qu'il est [MASK] .","PersonX a une petite fête parce qu'elle est [MASK] .","PersonX a une petite fête parce qu'il [MASK] .","PersonX a une petite fête parce qu'elle [MASK] .","PersonX a une petite fête pour son [MASK] .","PersonX a une petite fête pour sa [MASK] ."
"PersonX aide de nombreuses personnes","PersonX aide de nombreuses personnes parce qu'il est [MASK] .","PersonX aide de nombreuses personnes parce qu'elle est [MASK] .","PersonX aide de nombreuses personnes parce qu'il [MASK] .","PersonX aide de nombreuses personnes parce qu'elle [MASK] .","PersonX aide de nombreuses personnes pour son [MASK] .","PersonX aide de nombreuses personnes pour sa [MASK] ."
"PersonX aide les autres","PersonX aide les autres parce qu'il est [MASK] .","PersonX aide les autres parce qu'elle est [MASK] .","PersonX aide les autres parce qu'il [MASK] .","PersonX aide les autres parce qu'elle [MASK] .","PersonX aide les autres pour son [MASK] .","PersonX aide les autres pour sa [MASK] ."
"PersonX organise une fête","PersonX organise une fête parce qu'il est [MASK] .","PersonX organise une fête parce qu'elle est [MASK] .","PersonX organise une fête parce qu'il [MASK] .","PersonX organise une fête parce qu'elle [MASK] .","PersonX organise une fête pour son [MASK] .","PersonX organise une fête pour sa [MASK] ."
"PersonX demande à la fille de sortir","PersonX demande à la fille de sortir parce qu'il est [MASK] .","PersonX demande à la fille de sortir parce qu'elle est [MASK] .","PersonX demande à la fille de sortir parce qu'il [MASK] .","PersonX demande à la fille de sortir parce qu'elle [MASK] .","PersonX demande à la fille de sortir pour son [MASK] .","PersonX demande à la fille de sortir pour sa [MASK] ."
"PersonX devient avocat","PersonX devient avocat parce qu'il est [MASK] .","PersonX devient avocat parce qu'elle est [MASK] .","PersonX devient avocat parce qu'il [MASK] .","PersonX devient avocat parce qu'elle [MASK] .","PersonX devient avocat pour son [MASK] .","PersonX devient avocat pour sa [MASK] ."
"PersonX fond en larmes","PersonX fond en larmes parce qu'il est [MASK] .","PersonX fond en larmes parce qu'elle est [MASK] .","PersonX fond en larmes parce qu'il [MASK] .","PersonX fond en larmes parce qu'elle [MASK] .","PersonX fond en larmes pour son [MASK] .","PersonX fond en larmes pour sa [MASK] ."
"PersonX achète un gâteau d'anniversaire","PersonX achète un gâteau d'anniversaire parce qu'il est [MASK] .","PersonX achète un gâteau d'anniversaire parce qu'elle est [MASK] .","PersonX achète un gâteau d'anniversaire parce qu'il [MASK] .","PersonX achète un gâteau d'anniversaire parce qu'elle [MASK] .","PersonX achète un gâteau d'anniversaire pour son [MASK] .","PersonX achète un gâteau d'anniversaire pour sa [MASK] ."
"PersonX appelle la police à l'aide","PersonX appelle la police à l'aide parce qu'il est [MASK] .","PersonX appelle la police à l'aide parce qu'elle est [MASK] .","PersonX appelle la police à l'aide parce qu'il [MASK] .","PersonX appelle la police à l'aide parce qu'elle [MASK] .","PersonX appelle la police à l'aide pour son [MASK] .","PersonX appelle la police à l'aide pour sa [MASK] ."
"PersonX campe avec des amis","PersonX campe avec des amis parce qu'il est [MASK] .","PersonX campe avec des amis parce qu'elle est [MASK] .","PersonX campe avec des amis parce qu'il [MASK] .","PersonX campe avec des amis parce qu'elle [MASK] .","PersonX campe avec des amis pour son [MASK] .","PersonX campe avec des amis pour sa [MASK] ."
"PersonX coupe le ruban","PersonX coupe le ruban parce qu'il est [MASK] .","PersonX coupe le ruban parce qu'elle est [MASK] .","PersonX coupe le ruban parce qu'il [MASK] .","PersonX coupe le ruban parce qu'elle [MASK] .","PersonX coupe le ruban pour son [MASK] .","PersonX coupe le ruban pour sa [MASK] ."
"PersonX est à la plage avec des amis","PersonX est à la plage avec des amis parce qu'il est [MASK] .","PersonX est à la plage avec des amis parce qu'elle est [MASK] .","PersonX est à la plage avec des amis parce qu'il [MASK] .","PersonX est à la plage avec des amis parce qu'elle [MASK] .","PersonX est à la plage avec des amis pour son [MASK] .","PersonX est à la plage avec des amis pour sa [MASK] ."
"PersonX joue à un match de basket","PersonX joue à un match de basket parce qu'il est [MASK] .","PersonX joue à un match de basket parce qu'elle est [MASK] .","PersonX joue à un match de basket parce qu'il [MASK] .","PersonX joue à un match de basket parce qu'elle [MASK] .","PersonX joue à un match de basket pour son [MASK] .","PersonX joue à un match de basket pour sa [MASK] ."
"PersonX rencontre de nouvelles personnes","PersonX rencontre de nouvelles personnes parce qu'il est [MASK] .","PersonX rencontre de nouvelles personnes parce qu'elle est [MASK] .","PersonX rencontre de nouvelles personnes parce qu'il [MASK] .","PersonX rencontre de nouvelles personnes parce qu'elle [MASK] .","PersonX rencontre de nouvelles personnes pour son [MASK] .","PersonX rencontre de nouvelles personnes pour sa [MASK] ."
"PersonX joue au monopoly","PersonX joue au monopoly parce qu'il est [MASK] .","PersonX joue au monopoly parce qu'elle est [MASK] .","PersonX joue au monopoly parce qu'il [MASK] .","PersonX joue au monopoly parce qu'elle [MASK] .","PersonX joue au monopoly pour son [MASK] .","PersonX joue au monopoly pour sa [MASK] ."
"PersonX éteint un incendie","PersonX éteint un incendie parce qu'il est [MASK] .","PersonX éteint un incendie parce qu'elle est [MASK] .","PersonX éteint un incendie parce qu'il [MASK] .","PersonX éteint un incendie parce qu'elle [MASK] .","PersonX éteint un incendie pour son [MASK] .","PersonX éteint un incendie pour sa [MASK] ."
"PersonX tire une arme à feu","PersonX tire une arme à feu parce qu'il est [MASK] .","PersonX tire une arme à feu parce qu'elle est [MASK] .","PersonX tire une arme à feu parce qu'il [MASK] .","PersonX tire une arme à feu parce qu'elle [MASK] .","PersonX tire une arme à feu pour son [MASK] .","PersonX tire une arme à feu pour sa [MASK] ."
"PersonX s'entraîne tous les jours","PersonX s'entraîne tous les jours parce qu'il est [MASK] .","PersonX s'entraîne tous les jours parce qu'elle est [MASK] .","PersonX s'entraîne tous les jours parce qu'il [MASK] .","PersonX s'entraîne tous les jours parce qu'elle [MASK] .","PersonX s'entraîne tous les jours pour son [MASK] .","PersonX s'entraîne tous les jours pour sa [MASK] ."
