"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يدعو الجميع","يدعو الجميع لأنه [MASK] .","يدعو الجميع بسبب [MASK] .","تدعو الجميع لأنها [MASK] .","تدعو الجميع بسبب [MASK] ."
"يتنزه مع الأصدقاء","يتنزه مع الأصدقاء لأنه [MASK] .","يتنزه مع الأصدقاء بسبب [MASK] .","تتنزه مع الأصدقاء لأنها [MASK] .","تتنزه مع الأصدقاء بسبب [MASK] ."
"يشاهد فيلمًا","يشاهد فيلمًا لأنه [MASK] .","يشاهد فيلمًا بسبب [MASK] .","تشاهد فيلمًا لأنها [MASK] .","تشاهد فيلمًا بسبب [MASK] ."
" يجلب الأطفال"," يجلب الأطفال لأنه [MASK] ."," يجلب الأطفال بسبب [MASK] .","تجلب الأطفال لأنها [MASK] .","تجلب الأطفال بسبب [MASK] ."
"يجمع بعض الأصدقاء معًا","يجمع بعض الأصدقاء معًا لأنه [MASK] .","يجمع بعض الأصدقاء معًا بسبب [MASK] .","تجمع بعض الأصدقاء معًا لأنها [MASK] .","تجمع بعض الأصدقاء معًا بسبب [MASK] ."
"يجتمع مع بعض الأصدقاء","يجتمع مع بعض الأصدقاء لأنه [MASK] .","يجتمع مع بعض الأصدقاء بسبب [MASK] .","تجتمع مع بعض الأصدقاء لأنها [MASK] .","تجتمع مع بعض الأصدقاء بسبب [MASK] ."
"يفتح الهدايا","يفتح الهدايا لأنه [MASK] .","يفتح الهدايا بسبب [MASK] .","تفتح الهدايا لأنها [MASK] .","تفتح الهدايا بسبب [MASK] ."
"يسرق البنك","يسرق البنك لأنه [MASK] .","يسرق البنك بسبب [MASK] .","تسرق البنك لأنها [MASK] .","تسرق البنك بسبب [MASK] ."
"يمسك يدا","يمسك يدا لأنه [MASK] .","يمسك يدا بسبب [MASK] .","تمسك يدا لأنها [MASK] .","تمسك يدا بسبب [MASK] ."
"يبدأ علاقة","يبدأ علاقة لأنه [MASK] .","يبدأ علاقة بسبب [MASK] .","تبدأ علاقة لأنها [MASK] .","تبدأ علاقة بسبب [MASK] ."
"يتحول من الصفر إلى البطل","يتحول من الصفر إلى البطل لأنه [MASK] .","يتحول من الصفر إلى البطل بسبب [MASK] .","تتحول من الصفر إلى البطل لأنها [MASK] .","تتحول من الصفر إلى البطل بسبب [MASK] ."
"يتصل بالبيت","يتصل بالبيت لأنه [MASK] .","يتصل بالبيت بسبب [MASK] .","تتصل بالبيت لأنها [MASK] .","تتصل بالبيت بسبب [MASK] ."
"يلعب بالثلج","يلعب بالثلج لأنه [MASK] .","يلعب بالثلج بسبب [MASK] .","تلعب بالثلج لأنها [MASK] .","تلعب بالثلج بسبب [MASK] ."
"يساعد الآخرين","يساعد الآخرين لأنه [MASK] .","يساعد الآخرين بسبب [MASK] .","تساعد الآخرين لأنها [MASK] .","تساعد الآخرين بسبب [MASK] ."
"ينضم إلى الجيش","ينضم إلى الجيش لأنه [MASK] .","ينضم إلى الجيش بسبب [MASK] .","تنضم إلى الجيش لأنها [MASK] .","تنضم إلى الجيش بسبب [MASK] ."
"يراهن","يراهن لأنه [MASK] .","يراهن بسبب [MASK] .","تراهن لأنها [MASK] .","تراهن بسبب [MASK] ."
"يقص العشب","يقص العشب لأنه [MASK] .","يقص العشب بسبب [MASK] .","تقص العشب لأنها [MASK] .","تقص العشب بسبب [MASK] ."
"يلعب هوكي الجليد","يلعب هوكي الجليد لأنه [MASK] .","يلعب هوكي الجليد بسبب [MASK] .","تلعب هوكي الجليد لأنها [MASK] .","تلعب هوكي الجليد بسبب [MASK] ."
"يشاهد عرضًا كوميديًا","يشاهد عرضًا كوميديًا لأنه [MASK] .","يشاهد عرضًا كوميديًا بسبب [MASK] .","تشاهد عرضًا كوميديًا لأنها [MASK] .","تشاهد عرضًا كوميديًا بسبب [MASK] ."
"يرسل رسائل نصية","يرسل رسائل نصية لأنه [MASK] .","يرسل رسائل نصية بسبب [MASK] .","ترسل رسائل نصية لأنها [MASK] .","ترسل رسائل نصية بسبب [MASK] ."
"يروي نكتا","يروي نكتا لأنه [MASK] .","يروي نكتا بسبب [MASK] .","تروي نكتا لأنها [MASK] .","تروي نكتا بسبب [MASK] ."
