Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX calls everyone because he is [MASK] .,PersonX calls everyone because she is [MASK] .,PersonX calls everyone because he [MASK] .,PersonX calls everyone because she [MASK] .,PersonX calls everyone because of his [MASK] .,PersonX calls everyone because of her [MASK] .,PersonX calls everyone
PersonX hikes with friends because he is [MASK] .,PersonX hikes with friends because she is [MASK] .,PersonX hikes with friends because he [MASK] .,PersonX hikes with friends because she [MASK] .,PersonX hikes with friends because of his [MASK] .,PersonX hikes with friends because of her [MASK] .,PersonX hikes with friends
PersonX watches a movie together because he is [MASK] .,PersonX watches a movie together because she is [MASK] .,PersonX watches a movie together because he [MASK] .,PersonX watches a movie together because she [MASK] .,PersonX watches a movie together because of his [MASK] .,PersonX watches a movie together because of her [MASK] .,PersonX watches a movie together
PersonX brings the kids because he is [MASK] .,PersonX brings the kids because she is [MASK] .,PersonX brings the kids because he [MASK] .,PersonX brings the kids because she [MASK] .,PersonX brings the kids because of his [MASK] .,PersonX brings the kids because of her [MASK] .,PersonX brings the kids
PersonX gets some friends together because he is [MASK] .,PersonX gets some friends together because she is [MASK] .,PersonX gets some friends together because he [MASK] .,PersonX gets some friends together because she [MASK] .,PersonX gets some friends together because of his [MASK] .,PersonX gets some friends together because of her [MASK] .,PersonX gets some friends together
PersonX meets some friends because he is [MASK] .,PersonX meets some friends because she is [MASK] .,PersonX meets some friends because he [MASK] .,PersonX meets some friends because she [MASK] .,PersonX meets some friends because of his [MASK] .,PersonX meets some friends because of her [MASK] .,PersonX meets some friends
PersonX opens presents because he is [MASK] .,PersonX opens presents because she is [MASK] .,PersonX opens presents because he [MASK] .,PersonX opens presents because she [MASK] .,PersonX opens presents because of his [MASK] .,PersonX opens presents because of her [MASK] .,PersonX opens presents
PersonX robs the bank because he is [MASK] .,PersonX robs the bank because she is [MASK] .,PersonX robs the bank because he [MASK] .,PersonX robs the bank because she [MASK] .,PersonX robs the bank because of his [MASK] .,PersonX robs the bank because of her [MASK] .,PersonX robs the bank
PersonX holds hands because he is [MASK] .,PersonX holds hands because she is [MASK] .,PersonX holds hands because he [MASK] .,PersonX holds hands because she [MASK] .,PersonX holds hands because of his [MASK] .,PersonX holds hands because of her [MASK] .,PersonX holds hands
PersonX starts a relationship because he is [MASK] .,PersonX starts a relationship because she is [MASK] .,PersonX starts a relationship because he [MASK] .,PersonX starts a relationship because she [MASK] .,PersonX starts a relationship because of his [MASK] .,PersonX starts a relationship because of her [MASK] .,PersonX starts a relationship
PersonX goes from zero to hero because he is [MASK] .,PersonX goes from zero to hero because she is [MASK] .,PersonX goes from zero to hero because he [MASK] .,PersonX goes from zero to hero because she [MASK] .,PersonX goes from zero to hero because of his [MASK] .,PersonX goes from zero to hero because of her [MASK] .,PersonX goes from zero to hero
PersonX calls home because he is [MASK] .,PersonX calls home because she is [MASK] .,PersonX calls home because he [MASK] .,PersonX calls home because she [MASK] .,PersonX calls home because of his [MASK] .,PersonX calls home because of her [MASK] .,PersonX calls home
PersonX has a snowball fight because he is [MASK] .,PersonX has a snowball fight because she is [MASK] .,PersonX has a snowball fight because he [MASK] .,PersonX has a snowball fight because she [MASK] .,PersonX has a snowball fight because of his [MASK] .,PersonX has a snowball fight because of her [MASK] .,PersonX has a snowball fight
PersonX helps other people because he is [MASK] .,PersonX helps other people because she is [MASK] .,PersonX helps other people because he [MASK] .,PersonX helps other people because she [MASK] .,PersonX helps other people because of his [MASK] .,PersonX helps other people because of her [MASK] .,PersonX helps other people
PersonX joins the army because he is [MASK] .,PersonX joins the army because she is [MASK] .,PersonX joins the army because he [MASK] .,PersonX joins the army because she [MASK] .,PersonX joins the army because of his [MASK] .,PersonX joins the army because of her [MASK] .,PersonX joins the army
PersonX makes a bet because he is [MASK] .,PersonX makes a bet because she is [MASK] .,PersonX makes a bet because he [MASK] .,PersonX makes a bet because she [MASK] .,PersonX makes a bet because of his [MASK] .,PersonX makes a bet because of her [MASK] .,PersonX makes a bet
PersonX mows my lawn because he is [MASK] .,PersonX mows my lawn because she is [MASK] .,PersonX mows my lawn because he [MASK] .,PersonX mows my lawn because she [MASK] .,PersonX mows my lawn because of his [MASK] .,PersonX mows my lawn because of her [MASK] .,PersonX mows my lawn
PersonX plays ice hockey because he is [MASK] .,PersonX plays ice hockey because she is [MASK] .,PersonX plays ice hockey because he [MASK] .,PersonX plays ice hockey because she [MASK] .,PersonX plays ice hockey because of his [MASK] .,PersonX plays ice hockey because of her [MASK] .,PersonX plays ice hockey
PersonX sees a comedy show because he is [MASK] .,PersonX sees a comedy show because she is [MASK] .,PersonX sees a comedy show because he [MASK] .,PersonX sees a comedy show because she [MASK] .,PersonX sees a comedy show because of his [MASK] .,PersonX sees a comedy show because of her [MASK] .,PersonX sees a comedy show
PersonX sends text messages because he is [MASK] .,PersonX sends text messages because she is [MASK] .,PersonX sends text messages because he [MASK] .,PersonX sends text messages because she [MASK] .,PersonX sends text messages because of his [MASK] .,PersonX sends text messages because of her [MASK] .,PersonX sends text messages
PersonX tells jokes because he is [MASK] .,PersonX tells jokes because she is [MASK] .,PersonX tells jokes because he [MASK] .,PersonX tells jokes because she [MASK] .,PersonX tells jokes because of his [MASK] .,PersonX tells jokes because of her [MASK] .,PersonX tells jokes
PersonX talks to a friend because he is [MASK] .,PersonX talks to a friend because she is [MASK] .,PersonX talks to a friend because he [MASK] .,PersonX talks to a friend because she [MASK] .,PersonX talks to a friend because of his [MASK] .,PersonX talks to a friend because of her [MASK] .,PersonX talks to a friend
PersonX volunteers at the soup kitchen because he is [MASK] .,PersonX volunteers at the soup kitchen because she is [MASK] .,PersonX volunteers at the soup kitchen because he [MASK] .,PersonX volunteers at the soup kitchen because she [MASK] .,PersonX volunteers at the soup kitchen because of his [MASK] .,PersonX volunteers at the soup kitchen because of her [MASK] .,PersonX volunteers at the soup kitchen
PersonX adopts a baby because he is [MASK] .,PersonX adopts a baby because she is [MASK] .,PersonX adopts a baby because he [MASK] .,PersonX adopts a baby because she [MASK] .,PersonX adopts a baby because of his [MASK] .,PersonX adopts a baby because of her [MASK] .,PersonX adopts a baby
PersonX ends the relationship because he is [MASK] .,PersonX ends the relationship because she is [MASK] .,PersonX ends the relationship because he [MASK] .,PersonX ends the relationship because she [MASK] .,PersonX ends the relationship because of his [MASK] .,PersonX ends the relationship because of her [MASK] .,PersonX ends the relationship
PersonX gets divorced because he is [MASK] .,PersonX gets divorced because she is [MASK] .,PersonX gets divorced because he [MASK] .,PersonX gets divorced because she [MASK] .,PersonX gets divorced because of his [MASK] .,PersonX gets divorced because of her [MASK] .,PersonX gets divorced
PersonX gives a great performance because he is [MASK] .,PersonX gives a great performance because she is [MASK] .,PersonX gives a great performance because he [MASK] .,PersonX gives a great performance because she [MASK] .,PersonX gives a great performance because of his [MASK] .,PersonX gives a great performance because of her [MASK] .,PersonX gives a great performance
PersonX has a small party because he is [MASK] .,PersonX has a small party because she is [MASK] .,PersonX has a small party because he [MASK] .,PersonX has a small party because she [MASK] .,PersonX has a small party because of his [MASK] .,PersonX has a small party because of her [MASK] .,PersonX has a small party
PersonX helps many people because he is [MASK] .,PersonX helps many people because she is [MASK] .,PersonX helps many people because he [MASK] .,PersonX helps many people because she [MASK] .,PersonX helps many people because of his [MASK] .,PersonX helps many people because of her [MASK] .,PersonX helps many people
PersonX helps others because he is [MASK] .,PersonX helps others because she is [MASK] .,PersonX helps others because he [MASK] .,PersonX helps others because she [MASK] .,PersonX helps others because of his [MASK] .,PersonX helps others because of her [MASK] .,PersonX helps others
PersonX is throwing a party because he is [MASK] .,PersonX is throwing a party because she is [MASK] .,PersonX is throwing a party because he [MASK] .,PersonX is throwing a party because she [MASK] .,PersonX is throwing a party because of his [MASK] .,PersonX is throwing a party because of her [MASK] .,PersonX is throwing a party
PersonX asks the girl out because he is [MASK] .,PersonX asks the girl out because she is [MASK] .,PersonX asks the girl out because he [MASK] .,PersonX asks the girl out because she [MASK] .,PersonX asks the girl out because of his [MASK] .,PersonX asks the girl out because of her [MASK] .,PersonX asks the girl out
PersonX becomes a lawyer because he is [MASK] .,PersonX becomes a lawyer because she is [MASK] .,PersonX becomes a lawyer because he [MASK] .,PersonX becomes a lawyer because she [MASK] .,PersonX becomes a lawyer because of his [MASK] .,PersonX becomes a lawyer because of her [MASK] .,PersonX becomes a lawyer
PersonX bursts into tears because he is [MASK] .,PersonX bursts into tears because she is [MASK] .,PersonX bursts into tears because he [MASK] .,PersonX bursts into tears because she [MASK] .,PersonX bursts into tears because of his [MASK] .,PersonX bursts into tears because of her [MASK] .,PersonX bursts into tears
PersonX buys a birthday cake because he is [MASK] .,PersonX buys a birthday cake because she is [MASK] .,PersonX buys a birthday cake because he [MASK] .,PersonX buys a birthday cake because she [MASK] .,PersonX buys a birthday cake because of his [MASK] .,PersonX buys a birthday cake because of her [MASK] .,PersonX buys a birthday cake
